1,manon_du_94,manon@gmail.com,Baha,Manon,swinglpb19,2003-01-19,France,Vive le ciné !,propriétaire
2,jana_du_93,jana@gmail.com,Ayadi,Jana,caillouchouchou,2003-10-23,France,Amatrice de ciné,propriétaire
3,cinemafan,cinemafan@free.fr,Doe,John,mdpjohn,1990-05-15,France,Passionné de cinéma depuis mon enfance.,vip
4,cinephile92,cinephile92@gmail.com,Smith,Emily,mdpe123,1985-09-20,États-Unis,Amatrice de films classiques.,
5,moviebuff,moviebuff@hotmail.com,Johnson,Michael,mdp1234,1982-07-10,Royaume-Uni,Grand amateur de films de science-fiction.,modérateur
6,emma_brown,cineaddict@yahoo.com,Brown,Emma,mdpemma,1995-03-28,Canada,Je vis pour les films. Toujours à la recherche de nouvelles découvertes.,vip
7,filmlover,filmlover@example.com,Williams,Daniel,mdp456,1988-12-02,Australie,Passionné d'arts cinématographiques sous toutes ses formes.,
8,soso_tinez,cinevore@gmail.com,Martinez,Sophia,mdpsophia,,Espagne,Dévoreuse de films en tous genres.,admin
9,david.lee,lee.david@example.com,Lee,David,mdpdavid,1976-06-30,Corée du Sud,Réalisateur et cinéphile depuis toujours.,modérateur
10,cinemaniac,cinemaniac@hotmail.com,Garcia,Olivia,mdpolivia,1992-04-12,Mexique,Ma vie tourne autour du cinéma.,vip
11,filmgeek,filmgeek@gmail.com,Rodriguez,Lucas,mdplucas,1983-08-25,Brésil,Geek de films et de séries TV.,certifié
12,sarahnguyen,cinephile@example.com,Nguyen,Sarah,mdpsarah,,Vietnam,Cinéphile depuis ma plus tendre enfance.,
13,movieaddict,movieaddict@yahoo.com,Kumar,Aarav,mdpaarav,1998-01-20,Inde,,vip
14,filmfanatic,filmfanatic@example.com,Chen,Sophie,mdpsophie,1979-09-08,Chine,,certifié
15,cinemalover,cinemalover@gmail.com,Singh,Rohan,mdprohan,1986-02-14,Pakistan,Amoureux du septième art.,admin
16,moviejunkie,moviejunkie@hotmail.com,Wang,Lily,mdplily,1993-06-17,Japon,Accro aux films de toutes sortes.,vip
17,filmfreak,filmfreak@example.com,Kim,Min-Jun,mdpkim,1981-07-22,Corée du Sud,Fana de cinéma et de séries.,certifié
18,cinemaddict,cinemaddict@gmail.com,Park,Ji-Hoon,mdppark,1977-04-03,Corée du Sud,Mon passe-temps favori : regarder des films.,modérateur
19,cinephiliac,cinephiliac@yahoo.com,Tanaka,Yuki,mdpyuki,1991-08-11,Japon,Cinéphile invétéré.,vip
20,chungcool,movieenthusiast@hotmail.com,Chung,Hye-Jin,mdphyejin,1984-12-30,Corée du Sud,Passionnée par tout ce qui touche au cinéma.,
21,filmaddict,filmaddict@example.com,Nakamura,Haruto,mdpharuto,,Japon,Addict au cinéma depuis toujours.,admin
22,cinemafreak,cinemafreak@gmail.com,Sato,Aoi,mdpsato,1994-11-07,Japon,Obsédée par les films.,vip
23,hmiyazaki,hmiyazaki@example.com,Miyazaki,Hayao,ghibli123,1941-01-05,Japon,Réalisateur et cofondateur du Studio Ghibli.,modérateur
24,wwenders,wwenders@example.com,Wenders,Wim,wim123,1945-08-14,Allemagne,Connu pour ses films expérimentaux et sa maîtrise du cinéma d'auteur.,vip
25,acuaron,acuaron@example.com,Cuarón,Allana,cuaron123,1961-11-28,Mexique,Réalisateur mexicain primé aux Oscars.,certifié
26,daronofsky,daronofsky@example.com,Aronofsky,Darren,darren123,1969-02-12,États-Unis,Réalisateur américain réputé pour ses films provocateurs et psychologiques.,modérateur
27,aginarritu,aginarritu@example.com,Inarritu,Alejandro González,alejandro123,1963-08-15,Mexique,Réalisateur mexicain primé aux Oscars,modérateur
28,dchazelle,dchazelle@example.com,Chazelle,Domitie,damien123,1985-01-19,États-Unis,Réalisateur américain.,vip
29,ahitchcock,ahitchcock@example.com,Hitchcock,Alfred,alfred123,1899-08-13,Royaume-Uni,Réalisateur britannique légendaire,modérateur
30,ffellini,ffellini@example.com,Fellini,Federico,federico123,1920-01-20,Italie,Réalisateur italien célèbre pour ses films surrealistes et fantasques.,certifié
31,TheWarnerBrosCie,warnerbros@cie.com,,,supersecret,,,,certifié
32,GaumontSuperPathe,gaumontpathe@cie.com,,,supersecret,,,,certifié
